model,split,batch_size,lr,epochs,test_mae,test_mse,test_rmse,test_r2
resnet34,identity,16,0.0001,,3.084179162979126,21.066150665283203,4.589787483215332,0.8300131559371948
resnet34,identity,32,0.0001,,3.20108699798584,20.8348445892334,4.564520359039307,0.8318796157836914
resnet50,identity,16,0.0001,,3.219197988510132,22.21851921081543,4.713652610778809,0.8207144737243652
resnet18,identity,16,0.0005,,3.223416566848755,22.214256286621094,4.713200092315674,0.8207488656044006
resnet34,random,32,0.0005,,3.228726387023926,28.06119155883789,5.297281742095947,0.8191642761230469
resnet34,identity,32,0.0001,,3.2397310733795166,21.52284049987793,4.6392717361450195,0.8263280391693115
resnet34,random,16,0.0001,,3.242781639099121,23.056989669799805,4.801769256591797,0.8514130115509033
mobilenet,identity,16,0.0005,,3.2514405250549316,20.820524215698242,4.56295108795166,0.8319951891899109
resnet34,identity,32,0.0001,,3.256815195083618,21.545475006103516,4.64171028137207,0.8261454105377197
resnet50,identity,16,0.0001,,3.2582268714904785,20.5009708404541,4.527799606323242,0.8345736861228943
resnet18,identity,32,0.0005,,3.274674892425537,24.157386779785156,4.9150166511535645,0.8050693869590759
resnet18,identity,16,0.0005,,3.2990987300872803,22.303544998168945,4.722662925720215,0.8200284242630005
resnet50,identity,32,0.0005,,3.305955648422241,21.753517150878906,4.664066791534424,0.8244666457176208
resnet34,identity,16,0.0001,,3.30705189704895,22.599050521850586,4.753845691680908,0.8176438808441162
resnet34,random,32,0.0001,,3.312831163406372,22.273921966552734,4.7195258140563965,0.856459379196167
resnet18,identity,16,0.0001,,3.3240561485290527,20.852937698364258,4.566501617431641,0.8317335844039917
resnet34,identity,32,0.0005,,3.328744411468506,22.52669906616211,4.746230125427246,0.8182277083396912
resnet34,random,32,0.0001,,3.329396963119507,23.000722885131836,4.795907020568848,0.8517756462097168
resnet50,random,32,0.0001,,3.3384878635406494,22.39641571044922,4.732485294342041,0.8556699752807617
resnet18,random,32,0.0001,,3.343735694885254,22.101911544799805,4.701267242431641,0.8575679063796997
resnet18,identity,32,0.0005,,3.357924222946167,21.818235397338867,4.670999526977539,0.8239444494247437
resnet34,random,32,0.0005,,3.366302013397217,22.002593994140625,4.69069242477417,0.8582079410552979
resnet34,identity,32,0.0005,,3.3792669773101807,25.61199188232422,5.060829162597656,0.7933318614959717
resnet50,random,32,0.0005,,3.379856824874878,24.407302856445312,4.940374851226807,0.8427112102508545
resnet34,random,16,0.0005,,3.387238025665283,27.261606216430664,5.221264839172363,0.8243170976638794
mobilenet,random,16,0.0005,,3.3914663791656494,20.905427932739258,4.5722455978393555,0.865278422832489
resnet34,random,32,0.0005,,3.3959107398986816,25.51566505432129,5.051303386688232,0.8355685472488403
resnet18,random,32,0.0005,,3.398622751235962,24.999067306518555,4.999906539916992,0.8388976454734802
resnet34,identity,16,0.0001,,3.4217286109924316,27.36216926574707,5.230885982513428,0.7792093753814697
resnet50,identity,16,0.0001,,3.4368736743927,26.823640823364258,5.179154396057129,0.7835548520088196
resnet50,identity,16,0.0005,,3.43922758102417,26.39918327331543,5.1380133628845215,0.7869799137115479
resnet50,random,16,0.0001,,3.4406094551086426,25.332273483276367,5.033117771148682,0.836750328540802
resnet34,random,16,0.0005,,3.4415652751922607,26.0926570892334,5.108097076416016,0.8318501710891724
resnet50,random,16,0.0005,,3.443086624145508,23.260732650756836,4.822937965393066,0.850100040435791
resnet50,random,16,0.0001,,3.455894947052002,24.127952575683594,4.912021160125732,0.8445113897323608
efficientnet,random,16,0.0005,,3.4588658809661865,22.18442153930664,4.710034370422363,0.8570361733436584
