model,split,batch_size,lr,stop_epoch,training_time_min,test_mae,test_mse,test_rmse,test_r2
resnet34,identity,32,0.0,18,1.93,3.18,19.37,4.4,0.81
resnet50,random,32,0.0,25,3.35,3.35,20.64,4.54,0.83
resnet34,identity,16,0.0,27,2.97,3.13,21.03,4.59,0.76
resnet34,identity,32,0.0,20,2.12,3.12,21.04,4.59,0.77
resnet50,random,16,0.0,19,2.69,3.34,21.49,4.64,0.82
resnet50,random,16,0.0,12,1.75,3.32,21.54,4.64,0.83
resnet34,identity,16,0.0,25,2.76,3.19,21.54,4.64,0.73
resnet34,identity,32,0.0,24,2.54,3.14,21.68,4.66,0.75
resnet50,identity,32,0.0,17,2.37,3.36,21.85,4.67,0.73
resnet50,random,32,0.0,15,2.06,3.36,21.87,4.68,0.82
resnet34,identity,16,0.0,19,2.13,3.28,22.04,4.69,0.76
resnet50,identity,16,0.0,13,1.93,3.38,22.08,4.7,0.74
efficientnet,random,32,0.0,20,2.28,3.51,22.08,4.7,0.83
resnet18,identity,32,0.0,19,1.78,3.38,22.44,4.74,0.75
resnet18,random,16,0.0,21,1.99,3.36,22.49,4.74,0.8
mobilenet,identity,16,0.0,10,1.11,3.32,22.56,4.75,0.75
resnet50,identity,16,0.0,19,2.76,3.21,22.89,4.78,0.71
resnet50,identity,32,0.0,17,2.36,3.47,23.01,4.8,0.73
mobilenet,random,32,0.0,19,1.95,3.44,23.13,4.81,0.8
resnet50,identity,32,0.0,12,1.7,3.36,23.43,4.84,0.72
resnet50,identity,32,0.0,17,2.37,3.71,23.45,4.84,0.73
resnet50,random,32,0.0,19,2.58,3.28,23.49,4.85,0.8
resnet34,random,32,0.0,18,1.87,3.23,23.5,4.85,0.78
resnet34,random,32,0.0,17,1.77,3.52,23.6,4.86,0.77
resnet18,random,16,0.0,24,2.28,3.52,24.38,4.94,0.75
resnet50,random,16,0.0,19,2.71,3.59,24.41,4.94,0.83
resnet18,random,32,0.0,36,3.28,3.49,24.42,4.94,0.78
resnet34,identity,16,0.0,16,1.81,3.47,24.45,4.95,0.69
resnet18,random,32,0.0,14,1.32,3.5,24.48,4.95,0.75
efficientnet,random,16,0.0,13,1.6,3.6,24.56,4.96,0.8
resnet50,random,16,0.0,20,2.83,3.48,24.79,4.98,0.76
resnet34,identity,32,0.0,16,1.72,3.2,24.94,4.99,0.66
mobilenet,identity,16,0.0,13,1.41,3.39,25.07,5.01,0.71
resnet34,random,16,0.0,11,1.23,3.47,25.42,5.04,0.74
efficientnet,random,16,0.0,15,1.83,3.75,25.52,5.05,0.75
resnet50,random,32,0.0,21,2.84,3.52,25.75,5.07,0.78
efficientnet,random,32,0.0,19,2.18,3.69,25.81,5.08,0.77
resnet18,random,16,0.0,15,1.45,3.55,25.84,5.08,0.77
resnet18,identity,32,0.0,25,2.33,3.64,25.89,5.09,0.68
resnet18,identity,16,0.0,13,1.32,3.54,25.9,5.09,0.68
resnet34,random,32,0.0,19,1.96,3.42,25.91,5.09,0.74
resnet50,identity,32,0.0,21,2.9,3.49,26.01,5.1,0.65
mobilenet,random,16,0.0,21,2.2,3.52,26.34,5.13,0.77
mobilenet,random,16,0.0,17,1.81,3.72,26.44,5.14,0.76
mobilenet,random,32,0.0,23,2.33,3.72,26.54,5.15,0.77
resnet18,identity,32,0.0,27,2.5,3.47,26.59,5.16,0.64
resnet34,identity,16,0.0,29,3.18,3.64,26.8,5.18,0.67
resnet18,random,32,0.0,21,1.95,3.67,26.88,5.18,0.74
mobilenet,identity,16,0.0,14,1.52,3.73,26.93,5.19,0.69
mobilenet,random,32,0.0,16,1.66,3.83,26.95,5.19,0.76
mobilenet,identity,32,0.0,17,1.75,3.54,26.96,5.19,0.69
resnet50,random,32,0.0,15,2.06,3.58,26.96,5.19,0.74
resnet34,random,16,0.0,19,2.06,3.51,27.07,5.2,0.74
mobilenet,random,16,0.0,22,2.26,3.85,27.15,5.21,0.75
resnet50,identity,16,0.0,26,3.72,3.95,27.37,5.23,0.68
mobilenet,identity,16,0.0,15,1.61,3.49,27.39,5.23,0.66
efficientnet,random,32,0.0,10,1.19,3.86,27.44,5.24,0.73
mobilenet,identity,32,0.0,15,1.56,3.39,27.48,5.24,0.66
mobilenet,identity,32,0.0,25,2.53,3.56,27.54,5.25,0.67
resnet18,identity,32,0.0,10,0.98,3.81,27.56,5.25,0.65
resnet50,identity,16,0.0,14,2.07,3.75,27.57,5.25,0.62
resnet18,identity,16,0.0,28,2.71,3.58,27.61,5.25,0.62
resnet50,random,32,0.0,17,2.32,3.66,27.64,5.26,0.69
efficientnet,random,16,0.0,13,1.6,3.87,27.7,5.26,0.75
resnet34,random,32,0.0,15,1.58,3.78,27.97,5.29,0.75
mobilenet,identity,16,0.0,20,2.12,3.58,28.02,5.29,0.67
resnet18,random,16,0.0,18,1.74,3.64,28.03,5.29,0.74
resnet18,random,32,0.0,9,0.87,3.65,28.05,5.3,0.73
resnet18,identity,32,0.0,22,2.06,4.0,28.06,5.3,0.69
resnet34,random,16,0.0,13,1.44,3.56,28.12,5.3,0.72
efficientnet,random,32,0.0,29,3.25,3.9,28.24,5.31,0.77
resnet18,random,16,0.0,19,1.81,3.64,28.63,5.35,0.74
resnet18,identity,16,0.0,14,1.41,3.8,28.71,5.36,0.68
resnet18,identity,16,0.0,19,1.86,3.8,28.72,5.36,0.64
mobilenet,random,32,0.0,19,1.96,3.96,28.73,5.36,0.73
resnet18,random,32,0.0,19,1.75,3.56,28.79,5.37,0.74
mobilenet,identity,32,0.0,11,1.17,3.62,28.93,5.38,0.61
resnet34,random,32,0.0,15,1.57,3.56,29.09,5.39,0.67
mobilenet,identity,32,0.0,30,3.02,3.89,29.23,5.41,0.63
resnet50,identity,16,0.0,39,5.54,3.99,29.34,5.42,0.64
mobilenet,random,16,0.0,14,1.47,4.12,29.34,5.42,0.75
efficientnet,random,16,0.0,29,3.42,3.84,29.36,5.42,0.73
resnet50,identity,16,0.0,14,2.07,3.74,29.43,5.42,0.62
efficientnet,random,16,0.0,19,2.28,4.02,29.54,5.44,0.76
mobilenet,random,32,0.0,25,2.54,4.03,29.61,5.44,0.73
